id,department,problem,solution
1,الشبكات والإنترنت,لا أستطيع الاتصال بالشبكة,"تحقق من كابل الشبكة أو الاتصال بالـ WiFi، وإذا استمرت المشكلة تواصل مع قسم الشبكات."
2,الشبكات والإنترنت,الإنترنت بطيء جداً,"تحقق من عدد الأجهزة المتصلة بالشبكة، ثم أعد تشغيل الراوتر أو تواصل مع قسم الشبكات."
3,الشبكات والإنترنت,انقطاع الإنترنت المتكرر,"افصل جهاز التوجيه لدقيقة وأعد تشغيله، إذا تكرر الانقطاع تواصل مع الدعم الفني للشبكات."
4,البوابة الإلكترونية,لا أستطيع تسجيل الدخول إلى البوابة,أعد تعيين كلمة المرور عبر صفحة 'نسيت كلمة المرور' أو تواصل مع الدعم الفني للبوابة.
5,البوابة الإلكترونية,صفحة البوابة لا تفتح,جرب استخدام متصفح مختلف أو مسح الكاش من إعدادات المتصفح.
6,البوابة الإلكترونية,لا تظهر بياناتي في البوابة,تأكد من تحديث بياناتك الشخصية في النظام الأكاديمي.
7,إدارة أنظمة التشغيل,نسيت كلمة مرور البريد الإلكتروني,استخدم رابط 'استعادة كلمة المرور' أو تواصل مع إدارة أنظمة التشغيل.
8,إدارة أنظمة التشغيل,لا أستطيع إرسال أو استقبال البريد,تحقق من إعدادات البريد على الجهاز أو امسح الكاش الخاص بالبريد.
9,إدارة أنظمة التشغيل,البريد لا يعمل على الهاتف المحمول,تأكد من إعدادات الخادم والبروتوكول (IMAP/SMTP) بشكل صحيح.
10,الدعم الفني لأنظمة التعلم الإلكتروني,لا أستطيع رفع ملف في بلاك بورد,"تأكد أن حجم الملف أقل من 100 ميغابايت، وإذا استمرت المشكلة تواصل مع فريق التعلم الإلكتروني."
11,الدعم الفني لأنظمة التعلم الإلكتروني,لا أستطيع الدخول إلى مقرر,"تحقق من تسجيلك في المقرر بنظام التسجيل الأكاديمي، ثم أعد تسجيل الدخول إلى المنصة."
12,الدعم الفني لأنظمة التعلم الإلكتروني,الاختبارات لا تفتح في المنصة,جرب متصفح آخر مثل Chrome أو Edge وتأكد من عدم تشغيل مانع النوافذ المنبثقة.
13,الدعم الفني لمنظومة وافي,النظام لا يعمل أو تظهر لي رسالة خطأ,"حاول تسجيل الخروج ثم الدخول من جديد، وإذا استمرت المشكلة أرسل بلاغًا لفريق وافي."
14,الدعم الفني لمنظومة وافي,لا أستطيع اعتماد معاملة,تحقق من صلاحيات المستخدم أو تواصل مع مسؤول النظام لتحديثها.
